Plate	Well	Genotype	Treatment	Week0	Week1	Week2	Week3	Week4	Qymax.Week4	Qymax.Week0	
36	B3	P18C3	Control.ET	0.096825501	0.176383259	0.258000323	0.339013258	0.425193559	0.55	0.81	
55	B1	P18D2	AC.AT	0.161946219	0.223713688	0.266414454	0.327885218	0.389818644	0.62	0.80	
56	B1	P18D2	EC.AT	0.16735664	0.226876458	0.278644471	0.326215479	0.380694927	0.61	0.81	
57	B1	P18D2	Control.AT	0.171071938	0.2214061	0.278955373	0.330060661	0.375774026	0.63	0.81	
58	B1	P18D2	AC.ET	0.175486864	0.217789692	0.270638574	0.326259466	0.379613022	0.68	0.81	
59	B1	P18D2	EC.ET	0.17880919	0.223340508	0.281915309	0.324868339	0.379354077	0.65	0.83	
60	B1	P18D2	Control.ET	0.18127397	0.237183755	0.2852087	0.328093559	0.369017838	0.59	0.81	
67	A3	P19A4	AC.AT	0.004835399	0.031758291	0.080848342	0.124988355	0.16407898	0.68	0.80	
68	A3	P19A4	EC.AT	0.008120184	0.183398474	0.343666761	0.509141668	0.675481432	0.57	0.81	
69	A3	P19A4	Control.AT	0.012272243	0.051252479	0.084913759	0.125136815	0.163146068	0.69	0.79	
70	A3	P19A4	AC.ET	0.014830456	0.054249441	0.085081548	0.118994939	0.15108682	0.68	0.80	
71	A3	P19A4	EC.ET	0.017850127	0.173359156	0.354565999	0.511252241	0.679748602	0.6	0.80	
72	A3	P19A4	Control.ET	0.02036827	0.067859322	0.086710009	0.116503419	0.146189673	0.68	0.80	
67	C2	P19A5	AC.AT	0.005333382	0.044436933	0.078144797	0.124867705	0.16684683	0.72	0.83	
68	C2	P19A5	EC.AT	0.008358768	0.046583262	0.081521366	0.127130915	0.165410729	0.62	0.80	
69	C2	P19A5	Control.AT	0.012542322	0.054779415	0.08074826	0.118044015	0.154284497	0.59	0.82	
70	C2	P19A5	AC.ET	0.015397972	0.063447505	0.086541827	0.116092872	0.14901754	0.63	0.80	
71	C2	P19A5	EC.ET	0.017866879	0.054608897	0.095090077	0.116000222	0.150616869	0.57	0.81	
72	C2	P19A5	Control.ET	0.020553384	0.194864553	0.352563902	0.507260614	0.667808471	0.61	0.82	
49	B1	P19B4	AC.AT	0.139654966	0.21071469	0.264982786	0.334817046	0.394196226	0.67	0.80	
50	B1	P19B4	EC.AT	0.142119646	0.335076369	0.522922073	0.707972416	0.893971678	0.62	0.80	
51	B1	P19B4	Control.AT	0.147312173	0.209247521	0.262684992	0.332706684	0.3992909	0.68	0.79	
52	B1	P19B4	AC.ET	0.150059364	0.216773597	0.275053141	0.330060728	0.387578427	0.71	0.83	
53	B1	P19B4	EC.ET	0.152637475	0.206975956	0.273341923	0.33274427	0.393646614	0.65	0.80	
54	B1	P19B4	Control.ET	0.159028316	0.205171659	0.275044533	0.335174127	0.394141724	0.62	0.83	
49	A2	P19C1	AC.AT	0.140228676	0.327541112	0.514808205	0.717772798	0.912091036	0.61	0.81	
50	A2	P19C1	EC.AT	0.142440517	0.208137469	0.261769538	0.336205547	0.402734969	0.59	0.83	
51	A2	P19C1	Control.AT	0.147379909	0.210759848	0.270510754	0.329575194	0.386442865	0.63	0.80	
52	A2	P19C1	AC.ET	0.150065839	0.3346655	0.522917313	0.704891378	0.897830528	0.7	0.80	
53	A2	P19C1	EC.ET	0.15336272	0.21675758	0.273951409	0.32850568	0.384624203	0.63	0.79	
54	A2	P19C1	Control.ET	0.159700951	0.21500228	0.277348958	0.325690749	0.381053528	0.62	0.80	
49	A1	P19C3	AC.AT	0.140744459	0.325106844	0.514479971	0.706283032	0.899306832	0.67	0.80	
50	A1	P19C3	EC.AT	0.142632541	0.209762383	0.266135363	0.329469996	0.39499994	0.59	0.83	
51	A1	P19C3	Control.AT	0.148359279	0.221276229	0.275126786	0.32970522	0.390050283	0.65	0.81	
52	A1	P19C3	AC.ET	0.150362811	0.215196868	0.278003075	0.328232449	0.387948539	0.67	0.80	
53	A1	P19C3	EC.ET	0.153486689	0.36087184	0.574148413	0.792090484	1.001284416	0.6	0.82	
54	A1	P19C3	Control.ET	0.159749138	0.230196929	0.273029279	0.330425323	0.381587436	0.65	0.81	
61	C3	P19C4	AC.AT	0.185234103	0.362465952	0.534970935	0.705261913	0.880980702	0.52	0.79	
62	C3	P19C4	EC.AT	0.188825364	0.241443391	0.283601048	0.324166085	0.368660183	0.6	0.82	
63	C3	P19C4	Control.AT	0.191483844	0.232419387	0.278889577	0.323021923	0.373595111	0.59	0.83	
64	C3	P19C4	AC.ET	0.193877056	0.39547765	0.580705397	0.765954674	0.95059608	0.6	0.80	
65	C3	P19C4	EC.ET	0.198495209	0.239277594	0.282284451	0.321927622	0.368738819	0.6	0.82	
66	C3	P19C4	Control.ET	0.000579673	0.042949326	0.08675412	0.122876317	0.159382639	0.64	0.79	
67	A1	P19D2	AC.AT	0.006084491	0.190122203	0.381021242	0.58146064	0.7707717	0.68	0.81	
68	A1	P19D2	EC.AT	0.008516726	0.058988148	0.082814181	0.120812886	0.155922835	0.65	0.83	
69	A1	P19D2	Control.AT	0.012709782	0.036886027	0.082864441	0.123414339	0.160099638	0.66	0.81	
70	A1	P19D2	AC.ET	0.015476015	0.174339293	0.340397701	0.508305016	0.671246774	0.7	0.81	
71	A1	P19D2	EC.ET	0.01848428	0.228009901	0.436832305	0.652360797	0.86284435	0.66	0.80	
72	A1	P19D2	Control.ET	0.0205765	0.1903056	0.34893582	0.508018312	0.66955819	0.65	0.81	
49	A4	P19D4	AC.AT	0.141115109	0.195966021	0.273739072	0.331898883	0.402947716	0.64	0.82	
